VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,,"Ayorinde, A., Oboh, B., Oduola, A., & Otubanjo, O. (2015). The insecticide susceptibility status of Aedes aegypti (Diptera: Culicidae) in farm and nonfarm sites of Lagos State, Nigeria. Journal of Insect Science, 15(1).",point,-999,6.67,3.5,2012,Nigeria,NGA,,NEW
Aedes aegypti,,"Ayorinde, A., Oboh, B., Oduola, A., & Otubanjo, O. (2015). The insecticide susceptibility status of Aedes aegypti (Diptera: Culicidae) in farm and nonfarm sites of Lagos State, Nigeria. Journal of Insect Science, 15(1).",point,-999,6.43,2.87,2012,Nigeria,NGA,,NEW
Aedes aegypti,,"Ayorinde, A., Oboh, B., Oduola, A., & Otubanjo, O. (2015). The insecticide susceptibility status of Aedes aegypti (Diptera: Culicidae) in farm and nonfarm sites of Lagos State, Nigeria. Journal of Insect Science, 15(1).",point,-999,6.48,3.38,2012,Nigeria,NGA,,NEW
Aedes aegypti,,"Zahouli, J. B., Koudou, B. G., Müller, P., Malone, D., Tano, Y., & Utzinger, J. (2017). Urbanization is a main driver for the larval ecology of Aedes mosquitoes in arbovirus-endemic settings in south-eastern Côte d'Ivoire. PLoS neglected tropical diseases, 11(7), e0005751.",point,-999,5.3,-3.07,2013,C™te d'Ivoire,CIV,,NEW
Aedes aegypti,,"Zahouli, J. B., Koudou, B. G., Müller, P., Malone, D., Tano, Y., & Utzinger, J. (2017). Urbanization is a main driver for the larval ecology of Aedes mosquitoes in arbovirus-endemic settings in south-eastern Côte d'Ivoire. PLoS neglected tropical diseases, 11(7), e0005751.",point,-999,5.32,-4,2013,C™te d'Ivoire,CIV,,NEW
Aedes aegypti,,"Zahouli, J. B., Koudou, B. G., Müller, P., Malone, D., Tano, Y., & Utzinger, J. (2017). Urbanization is a main driver for the larval ecology of Aedes mosquitoes in arbovirus-endemic settings in south-eastern Côte d'Ivoire. PLoS neglected tropical diseases, 11(7), e0005751.",point,-999,5.3,-4,2013,C™te d'Ivoire,CIV,,NEW
Aedes albopictus,,"Zahouli, J. B., Koudou, B. G., Müller, P., Malone, D., Tano, Y., & Utzinger, J. (2017). Urbanization is a main driver for the larval ecology of Aedes mosquitoes in arbovirus-endemic settings in south-eastern Côte d'Ivoire. PLoS neglected tropical diseases, 11(7), e0005751.",point,-999,5.3,-4,2013,C™te d'Ivoire,CIV,,NEW
Aedes aegypti,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.457,3.895,2013,C™te d'Ivoire,,,NEW
Aedes albopictus,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.457,3.895,2013,Nigeria,,,NEW
Aedes aegypti,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.4436,3.89555,2013,Nigeria,,,NEW
